,A,B,C,D,E,F,G,y1,y2,y3
0,1,1,1,1,1,1,1,25.6,21.0,37.6
1,1,2,2,2,2,2,2,26.9,21.3,24.0
2,1,3,3,3,3,3,3,30.2,29.1,29.8
3,2,1,1,2,2,3,3,29.5,35.2,42.4
4,2,2,2,3,3,1,1,23.0,24.8,38.7
5,2,3,3,1,1,2,2,23.5,27.9,10.2
6,3,1,2,1,3,2,3,26.6,31.3,29.5
7,3,2,3,2,1,3,1,20.1,36.4,18.5
8,3,3,1,3,2,1,2,22.4,34.7,19.0
9,4,1,3,3,2,2,1,19.8,23.2,24.1
10,4,2,1,1,3,3,2,22.6,30.1,21.4
11,4,3,2,2,1,1,3,25.5,24.1,34.5
12,5,1,2,3,1,3,2,21.8,25.2,27.6
13,5,2,3,1,2,1,3,23.1,26.1,21.2
14,5,3,1,2,3,2,1,19.8,26.7,24.4
15,6,1,3,2,3,1,2,20.6,26.3,23.3
16,6,2,1,3,1,2,3,23.7,29.1,34.9
17,6,3,2,1,2,3,1,19.0,32.9,17.9
